# The official descriptions of the .con commands, from the BF2 editor
# Source: bf2editor/Help/CommandDescriptions.dat
# Commands: 546
Addin.SelectAnimationEditor	Activate AnimationEditor
ObjectTemplate.SeatAnimationSystem	Path and name of animation system to be used in this position.
ObjectTemplate.SeatParent	The parent PlayerControlObject of this position. (The name of the root object if this is the pilot.)
ObjectTemplate.SeatPosition	X, Y, Z position of the seat of the player in relation to the player control object.
ObjectTemplate.SeatRotation	X, Y, Z rotation of the seat of the player in relation to the player control object.
ObjectTemplate.SeconWarningSound	Name of soundfile.
ObjectTemplate.SetTargetAtMaxDistance	Check if you want no upper limit on guidance.
ObjectTemplate.ShakeFactor	Multiplier for the camera shake.
ObjectTemplate.ShowAmmo	Hud graphics information.
ObjectTemplate.ShowClips	Hud graphics information.
ObjectTemplate.ShowCrossHair	If unchecked, there will be no crosshair.
ObjectTemplate.ShowInfo	Hud graphics information.
ObjectTemplate.ShowWeaponAfterReloadDelay	In seconds. How long after the initiation of the reload animation you want the weapon to reappear in the players hands.
ObjectTemplate.SoldierExitPosition	X, Y, Z position of soldier in relation to player control object on exiting vehicle.
ObjectTemplate.SoldierExitRotation	X, Y, Z rotation of soldier in relation to player control object on exiting vehicle.
ObjectTemplate.SoundFilter	What sound filtering to use for pre-recorded radio messages when in this vehicle.
ObjectTemplate.SpecialToggleWeaponInput	They key you use to toggle weapons when the "weapon is selectable" switch is turned off.
ObjectTemplate.SpeedDevAddForward	Deviation added to projectiles fired while moving forwards or backwards.
ObjectTemplate.SpeedDevAddStrafe	Deviation added to projectiles fired while strafing sideways.
ObjectTemplate.SpeedDevMax	Maximum deviation that can be caused by moving.
ObjectTemplate.SpeedDevSub	Deviation subtracted per second  from the speed deviation when not moving.
ObjectTemplate.SpeedMod	Normally set to 0.05
ObjectTemplate.SpinWhenNoEngineInAir	[PLACEHOLDER]
ObjectTemplate.SpottedMessage	Hud graphics information.
ObjectTemplate.SprintDissipationTime	The time it takes in seconds to deplete the sprintbar.
ObjectTemplate.SprintFactor	Mutliplies the engine output when sprinting by this factor.
ObjectTemplate.SprintLimit	How many percent of the sprintbar must be reloaded before you can sprint again.
ObjectTemplate.SprintRecoverTime	The time it takes in seconds from when you have sprinted to when you can sprint again.
ObjectTemplate.StartAutoRotateOnEnter	Check if you want constant rotation.
ObjectTemplate.StartDelay	Time in seconds until the engine of the projectile is ignited after firing.
ObjectTemplate.StopAtEndEffect	Normally checked.
ObjectTemplate.Strength	Hardness of the spring. Set this value so that the hub of the wheel lines up with the axle.
ObjectTemplate.SubProjectileDev	For projectiles that fires clusters of shots. This is the deviation of the projectiles within the cluster.
ObjectTemplate.SwitchGuiOnCamera	Hud graphics information.
ObjectTemplate.TargetObjectTemplate	What kind of targeting system to use. Wireguided, laserguided or heatseeking.
ObjectTemplate.TargetSystem	[PLACEHOLDER]
ObjectTemplate.TemplateHasBeenUsed	Check this one.
ObjectTemplate.TimeToLive	Y is the time in seconds this projectile will exist. Also used as time for grenades.
ObjectTemplate.TimeToRemoveTK	Normally unchecked
ObjectTemplate.TimeToStayAfterDestroyed	[PLACEHOLDER]
ObjectTemplate.TimeToStayAsDestroyed	Time it takes to hit 0 wreck hp once object has become a wreck in seconds. Then the wreck too explodes.
ObjectTemplate.ToggleWeapon	Check only if there is is no weapon in zoomed out view.
ObjectTemplate.Torque	The power of the engine. The value is in relation to the differential. Dont enter higher values than 5000.
ObjectTemplate.TracerConvergenceDistance	At what distance the tracers (which start from the gunbarrel) and the projectile, which start from the camera, converges. Only relevan if FireInCameraDof is checked.
ObjectTemplate.TracerInterval	Set one for tracer on every shot, 2 for every other and so on.
ObjectTemplate.TracerScaler	How long the tracer effect will be as default.
ObjectTemplate.TracerSizeModifier	How fat the tracer will be.
ObjectTemplate.TracerTemplate	Name of tracer effect to use.
ObjectTemplate.TreeCollisionDiameter	[PLACEHOLDER]
ObjectTemplate.TurnDevAddPitch	Deviation added to projectiles fired while moving the weapon up and down.
ObjectTemplate.TurnDevAddYaw	Deviation added to projectiles fired while moving the weapon right and left.
ObjectTemplate.TurnDevMax	Maximum deviation that can be caused by turning.
ObjectTemplate.TurnDevSub	Deviation subtracted per second  from the turn deviation when not turning.
ObjectTemplate.UpdateInterval	In seconds. How often the game updates the target information. 0 would make it update every frame.
ObjectTemplate.UseDeAcceleration	Check if deacceleration is to be used.
ObjectTemplate.UseDummyProjectiles	Check this one to get a visible projectile dummy. Like a bomb hanging under a plane.
ObjectTemplate.UseMMOnEndEffect	Normally checked
ObjectTemplate.UseProjectileCamera	Check if you want a camera to travel with the projectile.
ObjectTemplate.VehicleCameraShake	Normally blank
ObjectTemplate.VehicleCategory	[PLACEHOLDER]
ObjectTemplate.VehicleFov	Normally 0
ObjectTemplate.vehicleHud.AbilityIcon	[PLACEHOLDER]
ObjectTemplate.vehicleHud.enablePostProcessingOnGuiIndex	[PLACEHOLDER]
ObjectTemplate.vehicleHud.guiIndex	[PLACEHOLDER]
ObjectTemplate.vehicleHud.hasTurretIcon	[PLACEHOLDER]
ObjectTemplate.vehicleHud.hudName	[PLACEHOLDER]
ObjectTemplate.vehicleHud.isCoDriver	[PLACEHOLDER]
ObjectTemplate.vehicleHud.maxClimbSpeed	[PLACEHOLDER]
ObjectTemplate.vehicleHud.miniMapIcon	[PLACEHOLDER]
ObjectTemplate.vehicleHud.miniMapIconLeaderSize	[PLACEHOLDER]
ObjectTemplate.vehicleHud.miniMapIconSize	[PLACEHOLDER]
ObjectTemplate.vehicleHud.showCrossHair	[PLACEHOLDER]
ObjectTemplate.vehicleHud.showInfo	[PLACEHOLDER]
ObjectTemplate.vehicleHud.spottedMessage	[PLACEHOLDER]
ObjectTemplate.vehicleHud.standardHelpEnabled	[PLACEHOLDER]
ObjectTemplate.vehicleHud.typeIcon	[PLACEHOLDER]
ObjectTemplate.vehicleHud.useChildHud	[PLACEHOLDER]
ObjectTemplate.vehicleHud.usePlayerIcon	[PLACEHOLDER]
ObjectTemplate.vehicleHud.useSelectionIcons	[PLACEHOLDER]
ObjectTemplate.vehicleHud.useVehicleCommRose	[PLACEHOLDER]
ObjectTemplate.vehicleHud.vehicleIcon	[PLACEHOLDER]
ObjectTemplate.vehicleHud.vehicleIconPos	[PLACEHOLDER]
ObjectTemplate.vehicleHud.vehicleType	[PLACEHOLDER]
ObjectTemplate.VehicleIcon	Hud graphics information.
ObjectTemplate.VehicleIconPos	Hud graphics information.
ObjectTemplate.Velocity	Muzzle velocity in meters per second.
ObjectTemplate.warningHud.firstWarningSound	[PLACEHOLDER]
ObjectTemplate.warningHud.secondWarningSound	[PLACEHOLDER]
ObjectTemplate.warningHud.warningIcon	[PLACEHOLDER]
ObjectTemplate.warningHud.warningType	[PLACEHOLDER]
ObjectTemplate.WarningIcon	Name of icon.
ObjectTemplate.WarningType	Decides what warning system to use.
ObjectTemplate.WaterDamageDelay	[PLACEHOLDER]
ObjectTemplate.WeaponIcon	Hud graphics information.
ObjectTemplate.WeaponType	Set to 0.
ObjectTemplate.WreckDelay	No of second before switch to wreck occurs after destroyed.
ObjectTemplate.WreckExplosionDamage	Max damage inflicted from explosion. Lessens over distance from center of explosion to radius maximum.
ObjectTemplate.WreckExplosionForce	The force on movable objects the explosion applies.
ObjectTemplate.WreckExplosionForceMax	[PLACEHOLDER]
ObjectTemplate.WreckExplosionForceMod	Normally 1
ObjectTemplate.WreckExplosionMaterial	What material the explosion radiates. Normally 70.
ObjectTemplate.WreckExplosionRadius	Radius in meters object will radiate damage when it explodes.
ObjectTemplate.WreckHitPoints	No of hitpoints the wreck has. May not exceed MaxHitPoints.
ObjectTemplate.ZoomDelay	How long in seconds it takes to zoom in.
ObjectTemplate.ZoomInput	Key that triggers zoom. Normally PIAltFire.
ObjectTemplate.ZoomLod	What lod to use when zoomed in. A weapon with a special zoom geometry should use lod 1. Otherwise, set to 0.
ObjectTemplate.ZoomModifier	Set to 1 if recoil should be turned off when zoomed in.
OutputWindow.ClearWindow	Clears the output window
Perforce.AddFiles	Check active level if any files need to be added to perforce
Perforce.OpenForEdit	Opens active level for edit
Perforce.Submit	Submits the BF2Content changelist
Perforce.Sync	Sync to head revision
RenderMenu.DetailTextureMode	Terrain is draw with detail texture
RenderMenu.GridMode	Terrain is drawn as grid
RenderMenu.GridWithTextureMode	Terrain is drawn with texture and grid
RenderMenu.TextureMode	Terrain is drawn with texture
ResourceTree.OnLoadResource	Show load resource dialog
TerrainEditor.ConnectRoad	Creates road on active spline
TerrainEditor.CreateRoadTemplate	Create a new road template
TerrainEditor.DisconnectRoad	Removes the active road
TerrainEditor.RefreshRoads	Refreshes all roads
TerrainEditor.ResetMarker	Resets the marker to position in front of camera
TerrainEditor.SetLevel	Activate level terrain mode
TerrainEditor.SetModify	Activate modify terrain mode
TerrainEditor.SetPlatform	Activate platform terrain mode
TerrainEditor.SetRandom	Activate random terrain mode
TerrainEditor.SetRoad	Activate road creation mode
TerrainEditor.SetSmooth	Activate smooth terrain mode
TerrainEditor.SetTexture	Activate detail texture paint mode
TerrainEditor.UndoModifyTerrain	Undos the latest terrain modification
Tools.FlushUndoManager	Shows the content of the UndoManager [debug]
Tools.ListAllShortcuts	Lists all shortcuts in output window
Tools.ShowAddinManager	Shows add-in manager
Tools.ShowControlMapManager	Shows controlmap manager
Tools.ShowOptions	Shows the options dialog
Tools.ShowShortcutManager	Shows shortcut manager
View.OnToggleEditor	Toggles visiblity for Editor window
View.OnToggleOutput	Toggles visiblity for Output window
View.OnToggleResource	Toggles visiblity for Resource window
View.OnToggleTimeLine	Toggles visiblity for Timeline window
View.OnToggleToolbar	Toggles visiblity for main toolbar
View.OnToggleTweaker	Toggles visiblity for Tweaker
